20.0, 20.0
16.250599744, 58.125299872
16.250599744, 100.0
16.250599744, 141.874700128
20.0, 180.0
58.125299872, 16.250599744
58.125299872, 58.125299872
58.125299872, 100.0
58.125299872, 141.874700128
58.125299872, 183.749400256
100.0, 16.250599744
100.0, 58.125299872
100.0, 100.0
100.0, 141.874700128
100.0, 183.749400256
141.874700128, 16.250599744
141.874700128, 58.125299872
141.874700128, 100.0
141.874700128, 141.874700128
141.874700128, 183.749400256
180.0, 20.0
183.749400256, 58.125299872
183.749400256, 100.0
183.749400256, 141.874700128
180.0, 180.0
