20 , 20 , 0.0 , 0.0
20 , 60 , -0.0026261963081739975 , -0.005252392616348064
20 , 100 , 0.0 , -0.005252392616348141
20 , 140 , 0.0026261963081739975 , -0.005252392616348148
20 , 180 , 0.0 , 0.0
60 , 20 , -0.005252392616348064 , -0.0026261963081739975
60 , 60 , -0.002626196308174053 , -0.002626196308174053
60 , 100 , 0.0 , -0.0026261963081740253
60 , 140 , 0.002626196308174053 , -0.002626196308174032
60 , 180 , 0.005252392616348064 , -0.0026261963081739975
100 , 20 , -0.005252392616348141 , 0.0
100 , 60 , -0.0026261963081740253 , 0.0
100 , 100 , 0.0 , 0.0
100 , 140 , 0.0026261963081740253 , 0.0
100 , 180 , 0.005252392616348141 , 0.0
140 , 20 , -0.005252392616348148 , 0.0026261963081739975
140 , 60 , -0.002626196308174032 , 0.002626196308174053
140 , 100 , 0.0 , 0.0026261963081740253
140 , 140 , 0.002626196308174074 , 0.002626196308174074
140 , 180 , 0.005252392616348148 , 0.002626196308174081
180 , 20 , 0.0 , 0.0
180 , 60 , -0.0026261963081739975 , 0.005252392616348064
180 , 100 , 0.0 , 0.005252392616348141
180 , 140 , 0.002626196308174081 , 0.005252392616348148
180 , 180 , 0.0 , 0.0
